trip_id,stop_name,scheduled,actual,passengers_on,passengers_off
T0001,Le Conte / Broxton,2025-10-01 06:00:00,2025-10-01 06:00:00,10,0
T0001,Le Conte / Westwood,2025-10-01 06:02:00,2025-10-01 06:02:00,48,37
T0001,Le Conte / Tiverton,2025-10-01 06:02:00,2025-10-01 06:02:00,17,23
T0001,Hilgard / Le Conte,2025-10-01 06:03:00,2025-10-01 06:03:00,19,44
T0001,Hilgard / Manning,2025-10-01 06:03:00,2025-10-01 06:03:00,31,15
T0001,Hilgard / Westholme,2025-10-01 06:04:00,2025-10-01 06:06:00,16,31
T0001,Hilgard / Wyton,2025-10-01 06:05:00,2025-10-01 06:07:00,19,7
T0001,Hilgard / Charing Cross,2025-10-01 06:06:00,2025-10-01 06:08:00,11,26
T0001,Sunset / Beverly Glen,2025-10-01 06:07:00,2025-10-01 06:09:00,40,7
T0001,Sunset / Charing Cross,2025-10-01 06:09:00,2025-10-01 06:11:00,34,28
T0001,Sunset / Carolwood,2025-10-01 06:10:00,2025-10-01 06:14:00,40,19
T0001,Sunset / Copley,2025-10-01 06:11:00,2025-10-01 06:15:00,21,9
T0001,Sunset / Whittier,2025-10-01 06:11:00,2025-10-01 06:15:00,31,7
T0001,Sunset / Bedford,2025-10-01 06:12:00,2025-10-01 06:16:00,29,26
T0001,Sunset / Rodeo,2025-10-01 06:13:00,2025-10-01 06:17:00,46,6
T0001,Sunset / Beverly,2025-10-01 06:13:00,2025-10-01 06:17:00,42,41
T0001,Sunset / Rexford,2025-10-01 06:13:00,2025-10-01 06:17:00,37,18
T0001,Sunset / Alpine,2025-10-01 06:14:00,2025-10-01 06:18:00,29,19
T0001,Sunset / Foothill,2025-10-01 06:14:00,2025-10-01 06:18:00,21,28
T0001,Sunset / Maple,2025-10-01 06:15:00,2025-10-01 06:19:00,34,24
T0001,Sunset / Hillcrest,2025-10-01 06:16:00,2025-10-01 06:20:00,0,38
T0002,Le Conte / Broxton,2025-10-01 07:00:00,2025-10-01 07:00:00,10,0
T0002,Le Conte / Westwood,2025-10-01 07:02:00,2025-10-01 07:02:00,16,42
T0002,Le Conte / Tiverton,2025-10-01 07:02:00,2025-10-01 07:02:00,18,19
T0002,Hilgard / Le Conte,2025-10-01 07:03:00,2025-10-01 07:08:00,18,44
T0002,Hilgard / Manning,2025-10-01 07:03:00,2025-10-01 07:08:00,33,27
T0002,Hilgard / Westholme,2025-10-01 07:04:00,2025-10-01 07:09:00,11,19
T0002,Hilgard / Wyton,2025-10-01 07:05:00,2025-10-01 07:10:00,37,35
T0002,Hilgard / Charing Cross,2025-10-01 07:06:00,2025-10-01 07:11:00,15,7
T0002,Sunset / Beverly Glen,2025-10-01 07:07:00,2025-10-01 07:12:00,27,14
T0002,Sunset / Charing Cross,2025-10-01 07:09:00,2025-10-01 07:19:00,38,31
T0002,Sunset / Carolwood,2025-10-01 07:10:00,2025-10-01 07:20:00,27,21
T0002,Sunset / Copley,2025-10-01 07:11:00,2025-10-01 07:22:00,15,15
T0002,Sunset / Whittier,2025-10-01 07:11:00,2025-10-01 07:22:00,42,39
T0002,Sunset / Bedford,2025-10-01 07:12:00,2025-10-01 07:23:00,26,39
T0002,Sunset / Rodeo,2025-10-01 07:13:00,2025-10-01 07:24:00,45,32
T0002,Sunset / Beverly,2025-10-01 07:13:00,2025-10-01 07:24:00,42,21
T0002,Sunset / Rexford,2025-10-01 07:13:00,2025-10-01 07:24:00,21,6
T0002,Sunset / Alpine,2025-10-01 07:14:00,2025-10-01 07:25:00,28,29
T0002,Sunset / Foothill,2025-10-01 07:14:00,2025-10-01 07:25:00,22,24
T0002,Sunset / Maple,2025-10-01 07:15:00,2025-10-01 07:29:00,42,44
T0002,Sunset / Hillcrest,2025-10-01 07:16:00,2025-10-01 07:30:00,0,30
T0003,Le Conte / Broxton,2025-10-01 08:00:00,2025-10-01 08:00:00,25,0
T0003,Le Conte / Westwood,2025-10-01 08:02:00,2025-10-01 08:02:00,28,24
T0003,Le Conte / Tiverton,2025-10-01 08:02:00,2025-10-01 08:02:00,23,38
T0003,Hilgard / Le Conte,2025-10-01 08:03:00,2025-10-01 08:03:00,50,42
T0003,Hilgard / Manning,2025-10-01 08:03:00,2025-10-01 08:03:00,19,11
T0003,Hilgard / Westholme,2025-10-01 08:04:00,2025-10-01 08:04:00,34,34
T0003,Hilgard / Wyton,2025-10-01 08:05:00,2025-10-01 08:05:00,21,29
T0003,Hilgard / Charing Cross,2025-10-01 08:06:00,2025-10-01 08:06:00,48,5
T0003,Sunset / Beverly Glen,2025-10-01 08:07:00,2025-10-01 08:07:00,14,21
T0003,Sunset / Charing Cross,2025-10-01 08:09:00,2025-10-01 08:09:00,18,7
T0003,Sunset / Carolwood,2025-10-01 08:10:00,2025-10-01 08:10:00,23,40
T0003,Sunset / Copley,2025-10-01 08:11:00,2025-10-01 08:13:00,16,18
T0003,Sunset / Whittier,2025-10-01 08:11:00,2025-10-01 08:13:00,27,12
T0003,Sunset / Bedford,2025-10-01 08:12:00,2025-10-01 08:14:00,19,39
T0003,Sunset / Rodeo,2025-10-01 08:13:00,2025-10-01 08:15:00,10,44
T0003,Sunset / Beverly,2025-10-01 08:13:00,2025-10-01 08:20:00,43,10
T0003,Sunset / Rexford,2025-10-01 08:13:00,2025-10-01 08:20:00,26,6
T0003,Sunset / Alpine,2025-10-01 08:14:00,2025-10-01 08:23:00,39,14
